Result_ID,Claim summary,Notebook section,Source output,Analysis type,Exploratory or stronger inference,Key_Caveat,Rank_Eligible,Missingness_status,Complete_case_fraction_min,Claim_ceiling_from_missingness
R1,"Task1_S_vs_G demographic_only AUC=0.623, Accuracy=0.625",Section 13/15/16/17,task_model_performance_nestedcv.csv,Leakage-safe nested CV classification (OOF),Tentative internal inference (non-specific alternatives unresolved),Internal discrimination only; not evidence of disease-specific biology or external clinical utility.,True,tolerable,1.0,No attrition constraint detected
R2,"Task1_S_vs_G broader_global_only AUC=0.596, Accuracy=0.583",Section 13/15/16/17,task_model_performance_nestedcv.csv,Leakage-safe nested CV classification (OOF),Tentative internal inference (non-specific alternatives unresolved),Internal discrimination only; not evidence of disease-specific biology or external clinical utility.,True,tolerable,1.0,No attrition constraint detected
R3,"Task1_S_vs_G combined_model AUC=0.732, Accuracy=0.681",Section 13/15/16/17,task_model_performance_nestedcv.csv,Leakage-safe nested CV classification (OOF),Tentative internal inference (non-specific alternatives unresolved),Internal discrimination only; not evidence of disease-specific biology or external clinical utility.,True,tolerable,1.0,No attrition constraint detected
R4,"Task1_S_vs_G small_panel_exploratory AUC=0.703, Accuracy=0.639",Section 13/15/16/17,task_model_performance_nestedcv.csv,Leakage-safe nested CV classification (OOF),"Exploratory (selection-affected, fold-contained search)",Do not use for superiority claims; hypothesis-generating only until external validation.,False,tolerable,1.0,Exploratory only
R5,"Task2_G_vs_P demographic_only AUC=0.974, Accuracy=0.931",Section 13/15/16/17,task_model_performance_nestedcv.csv,Leakage-safe nested CV classification (OOF),Tentative internal inference (non-specific alternatives unresolved),Internal discrimination only; not evidence of disease-specific biology or external clinical utility.,True,tolerable,1.0,No attrition constraint detected
R6,"Task2_G_vs_P broader_global_only AUC=0.853, Accuracy=0.917",Section 13/15/16/17,task_model_performance_nestedcv.csv,Leakage-safe nested CV classification (OOF),Tentative internal inference (non-specific alternatives unresolved),Internal discrimination only; not evidence of disease-specific biology or external clinical utility.,True,tolerable,1.0,No attrition constraint detected
R7,"Task2_G_vs_P combined_model AUC=0.998, Accuracy=0.958",Section 13/15/16/17,task_model_performance_nestedcv.csv,Leakage-safe nested CV classification (OOF),Tentative internal inference (non-specific alternatives unresolved),Internal discrimination only; not evidence of disease-specific biology or external clinical utility.,True,tolerable,1.0,No attrition constraint detected
R8,"Task2_G_vs_P small_panel_exploratory AUC=0.792, Accuracy=0.778",Section 13/15/16/17,task_model_performance_nestedcv.csv,Leakage-safe nested CV classification (OOF),"Exploratory (selection-affected, fold-contained search)",Do not use for superiority claims; hypothesis-generating only until external validation.,False,tolerable,1.0,Exploratory only
R9,"Task3_S_vs_P demographic_only AUC=0.801, Accuracy=0.681",Section 13/15/16/17,task_model_performance_nestedcv.csv,Leakage-safe nested CV classification (OOF),Tentative internal inference (non-specific alternatives unresolved),Internal discrimination only; not evidence of disease-specific biology or external clinical utility.,True,tolerable,1.0,No attrition constraint detected
R10,"Task3_S_vs_P broader_global_only AUC=1.000, Accuracy=1.000",Section 13/15/16/17,task_model_performance_nestedcv.csv,Leakage-safe nested CV classification (OOF),Tentative internal inference (non-specific alternatives unresolved),Internal discrimination only; not evidence of disease-specific biology or external clinical utility.,True,tolerable,1.0,No attrition constraint detected
R11,"Task3_S_vs_P combined_model AUC=1.000, Accuracy=0.986",Section 13/15/16/17,task_model_performance_nestedcv.csv,Leakage-safe nested CV classification (OOF),Tentative internal inference (non-specific alternatives unresolved),Internal discrimination only; not evidence of disease-specific biology or external clinical utility.,True,tolerable,1.0,No attrition constraint detected
R12,"Task3_S_vs_P small_panel_exploratory AUC=0.970, Accuracy=0.958",Section 13/15/16/17,task_model_performance_nestedcv.csv,Leakage-safe nested CV classification (OOF),"Exploratory (selection-affected, fold-contained search)",Do not use for superiority claims; hypothesis-generating only until external validation.,False,tolerable,1.0,Exploratory only
